endpoint_name,endpoint_value,chosen_option,chose_positive,valid_choice_mass,option_probabilities,kind,layer,site,token_index,timing_policy,strength,direction_name,direction_source,direction_norm,sample_id,group,condition,condition_notes,hidden_norm,diagnostic_probe_projection,relative_magnitude
forced_choice_positive_probability,0.3016127018093074, No,False,0.9815539359951603,"{' Yes': 0.3016127018093074, ' No': 0.6983872981906926}",none,,block,-1,prefill_only,0.0,none,none,,pk000000,0a5854a70be89ac4,baseline,no intervention,359.9186096191406,-0.17350905166518382,
forced_choice_positive_probability,0.30365518147711446, No,False,0.9814974194166373,"{' Yes': 0.30365518147711446, ' No': 0.6963448185228855}",add,31.0,block,-1,prefill_only,0.5,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,positive_steering,adds the probe direction,359.9186096191406,-0.17350905166518382,0.001389202965995815
forced_choice_positive_probability,0.3057552096645774, No,False,0.9814159280745673,"{' Yes': 0.3057552096645774, ' No': 0.6942447903354226}",add,31.0,block,-1,prefill_only,1.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,positive_steering,adds the probe direction,359.9186096191406,-0.17350905166518382,0.00277840593199163
forced_choice_positive_probability,0.31009014983961053, No,False,0.9811777689080109,"{' Yes': 0.31009014983961053, ' No': 0.6899098501603895}",add,31.0,block,-1,prefill_only,2.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,positive_steering,adds the probe direction,359.9186096191406,-0.17350905166518382,0.00555681186398326
forced_choice_positive_probability,0.31930582304404176, No,False,0.9803960393585043,"{' Yes': 0.31930582304404176, ' No': 0.6806941769559582}",add,31.0,block,-1,prefill_only,4.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,positive_steering,adds the probe direction,359.9186096191406,-0.17350905166518382,0.01111362372796652
forced_choice_positive_probability,0.2996036460560443, No,False,0.9815852747290039,"{' Yes': 0.2996036460560443, ' No': 0.7003963539439557}",add,31.0,block,-1,prefill_only,0.5,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,negative_steering,subtracts the probe direction,359.9186096191406,-0.17350905166518382,0.001389202965995815
forced_choice_positive_probability,0.29764654670742896, No,False,0.9815908467863701,"{' Yes': 0.29764654670742896, ' No': 0.7023534532925712}",add,31.0,block,-1,prefill_only,1.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,negative_steering,subtracts the probe direction,359.9186096191406,-0.17350905166518382,0.00277840593199163
forced_choice_positive_probability,0.2939148374820721, No,False,0.981523337839998,"{' Yes': 0.2939148374820721, ' No': 0.7060851625179279}",add,31.0,block,-1,prefill_only,2.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,negative_steering,subtracts the probe direction,359.9186096191406,-0.17350905166518382,0.00555681186398326
forced_choice_positive_probability,0.2870736413178889, No,False,0.9810679938127495,"{' Yes': 0.2870736413178889, ' No': 0.7129263586821112}",add,31.0,block,-1,prefill_only,4.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,negative_steering,subtracts the probe direction,359.9186096191406,-0.17350905166518382,0.01111362372796652
forced_choice_positive_probability,0.3000228717666448, No,False,0.9822252339063005,"{' Yes': 0.3000228717666448, ' No': 0.6999771282333551}",add,31.0,block,-1,prefill_only,0.5,random_matched_norm,"random gaussian, unit norm (matched to probe by construction)",0.9999999999999999,pk000000,0a5854a70be89ac4,random_matched_norm,,359.9186096191406,-0.17350905166518382,0.0013892029659958148
